model_uncertainty,measurement_uncertainty,error_x,error_y,sane_rate
0.017999999225139618,0.75,0.46224853,0.38627806,0.99
0.017999999225139618,1.0,0.50020266,0.43089598,0.995
0.017999999225139618,1.25,0.54331666,0.46392396,0.995
0.017999999225139618,1.5,0.5675842,0.46414366,0.995
0.003599999938160181,0.25,0.38006592,0.35880128,0.955
0.003599999938160181,0.375,0.4452649,0.36104065,0.95
0.003599999938160181,0.5,0.45923463,0.39257142,0.94
0.003599999938160181,0.625,0.49690673,0.43011475,0.95
0.003599999938160181,0.75,0.5108972,0.44407958,0.965
0.010799999348819256,0.25,0.35139892,0.30218995,0.975
0.010799999348819256,0.375,0.38089967,0.355426,0.965
0.010799999348819256,0.5,0.45832643,0.41900635,0.96
0.010799999348819256,0.625,0.47324708,0.40039244,0.98
0.010799999348819256,0.75,0.48115113,0.40463683,0.98
0.017999999225139618,0.25,0.3264441,0.29013917,0.97
0.017999999225139618,0.375,0.35870972,0.32098633,0.97
0.017999999225139618,0.5,0.39023927,0.33770263,0.975
0.017999999225139618,0.625,0.40314087,0.35483277,0.985
0.017999999225139618,0.75,0.4938855,0.42558107,0.98
0.025199998170137405,0.25,0.29496217,0.2785687,0.985
0.025199998170137405,0.375,0.34218016,0.3038782,0.975
0.025199998170137405,0.5,0.36400756,0.31401184,0.99
0.025199998170137405,0.625,0.3992334,0.3665918,0.98
0.025199998170137405,0.75,0.44034547,0.37476134,0.995
0.03239999711513519,0.25,0.2929126,0.26768738,0.97
0.03239999711513519,0.375,0.3835022,0.32870787,0.97
0.03239999711513519,0.5,0.3594226,0.30717713,0.985
0.03239999711513519,0.625,0.3851477,0.3573645,0.995
0.03239999711513519,0.75,0.40117064,0.38223326,0.985
0.0050399997271597385,0.125,0.31800783,0.29482484,0.93
0.0050399997271597385,0.1875,0.34851807,0.3259198,0.93
0.0050399997271597385,0.25,0.42728516,0.34430176,0.925
0.0050399997271597385,0.3125,0.40693238,0.37677306,0.965
0.0050399997271597385,0.375,0.48471802,0.42991883,0.95
0.015119998715817928,0.125,0.26979005,0.26149598,0.945
0.015119998715817928,0.1875,0.3073523,0.28442138,0.96
0.015119998715817928,0.25,0.33823976,0.28829834,0.97
0.015119998715817928,0.3125,0.37002563,0.31242493,0.975
0.015119998715817928,0.375,0.43311036,0.37834167,0.97
0.025199998170137405,0.125,0.25962403,0.23757446,0.945
0.025199998170137405,0.1875,0.28877562,0.24957642,0.97
0.025199998170137405,0.25,0.31717652,0.295473,0.965
0.025199998170137405,0.3125,0.30837157,0.2825244,0.995
0.025199998170137405,0.375,0.33445558,0.33711424,0.98
0.03527999669313431,0.125,0.24389526,0.21412353,0.97
0.03527999669313431,0.1875,0.2680359,0.24147461,0.985
0.03527999669313431,0.25,0.28404054,0.2664746,0.975
0.03527999669313431,0.3125,0.31657106,0.27027893,0.98
0.03527999669313431,0.375,0.33827636,0.2828418,0.985
0.04535999521613121,0.125,0.22237426,0.20940003,0.965
0.04535999521613121,0.1875,0.25744507,0.23348938,0.965
0.04535999521613121,0.25,0.2962683,0.2499231,0.985
0.04535999521613121,0.3125,0.30742553,0.27002135,0.985
0.04535999521613121,0.375,0.3072583,0.2817169,0.99
